Duplicate?,Name,Description,Type,Status,Character,Background,Hair,Eyes,,,,Props,Owner Name,Owner Wallet,Description 1,Desciption 2
,lady_000_lemon,Portrait of a Picture. Rosie the Riveter,Female,Legend,Rosie the Riveter,Yellow,Brown,Purple,,,,Headband,,,"Bespoke: 24x24 grid, Yellow (#F8E701) background, Red/white bandana (190,103,98/245,198,136), Black pupils (8,12)/(13,12), Blue eyes, Black nose (11,13), Orange-red lips (246,155,150), Dark hair (42,50,73), Light skin (232,175,130), 14px width","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_000_lemon.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_001_hazelnut,Self portrait.,Female,Legend,,Green,Brown,Green,,,,"Earrings, Necklace, Bow",,,"Bespoke: 24x24 grid, Dark green background, Brown hair with pink accessory (255,20,147), Green eyes, Light skin tone, Standard features, Pink hair accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_001_hazelnut.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_002_vanilla,Portrait of a Picture.,Female,Legend,,Blue,Blonde,Blue,,,,"Earrings, Necklace",Johanna,,"Bespoke: 24x24 grid, Light blue background, Blonde wavy hair (210,180,140), Gray-green eyes, Light skin tone, 16px width, Side-swept hairstyle","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_002_vanilla.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_003_cashew,Portrait of a Picture.,Female,Legend,,Grey,Black,Brown,,,,"Earrings, Necklace",Christine,,"Bespoke: 24x24 grid, Gray background, Black hair with gold checkerboard accent, Brown eyes, Light skin, Red lips, White collar","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_003_cashew.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_004_nutmeg,Portrait of a Picture. Issa Rae,Female,Legend,Issa Rae,Orange,Black,Brown,,,,Earrings,,,"Bespoke: 24x24 grid, Peach background, Black hair with gold accent, Dark skin (139,69,19), Red-brown eyes, Natural lips, Yellow detailing","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_004_nutmeg.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_005_cinnamon,Portrait of a Picture. Beth Dutton,Female,Legend,Beth Dutton,Brown,Red,Green,,,,Necklace,,,"Bespoke: 24x24 grid, Brown background, Light brown wavy hair, Green eyes, Light skin tone, Gold accent, Natural makeup","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_005_cinnamon.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_006_pepper,Portrait of a Picture. Cruella de Vil,Female,Legend,Cruella de Vil,Multi,Black/White,Green,,,,Earrings,,,"Bespoke: 24x24 grid, Black background, Black/white split hair, Green eyes, Pale skin (255,255,255), Red lips, Dramatic contrast","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_006_pepper.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_007_alloy,Portrait of a Picture. 7 of 9,Female,Legend,7 of 9,Purple,Blonde,Blue,,,,Ocular Implant,,,"Bespoke: 24x24 grid, Purple background, Light brown hair, Blue eyes, Light skin tone, Pink lips, Short styled cut","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_007_alloy.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_008_pinksilk,Portrait of a Picture. Holly Go Lightly,Female,Legend,Holly Go Lightly,Pink,Brown,Brown,,,,"Earrings, Necklace, Crown, Cig Holder",,,"Bespoke: 24x24 grid, Pink background, Brown hair with white tiara, Amber eyes, Light skin tone, White dress details","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_008_pinksilk.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_009_bluesilk,Portrait of a Picture. Holly Go Lightly,Female,Legend,Holly Go Lightly,Blue,Brown,Sunglasses,,,,"Earrings, Necklace, Crown",,,"Bespoke: 24x24 grid, Mint background, Same as #9 with black sunglasses overlay, White tiara, White dress","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_009_bluesilk.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_010_saffron,Self portrait.,Female,Legend,,Green,Blonde,Green,,,,,,,"Dark green background, Blonde wavy hair, Light skin tone, Green eyes, Burgundy accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_010_saffron.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_011_sage,Portrait of a Picture.,Female,Legend,,Blue,Brown,Green,,,,Earrings,,,"Bespoke: 24x24 grid, Blue background, Wavy brown hair, Green eyes, Light skin tone, Red top accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_011_sage.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_012_parasite,Portrait of a Picture.,Female,Legend,,Multi,Black,Blue,,,,Mask,,,"Bespoke: 24x24 grid, Cyan background, Black hair, Pale blue complexion, Blue eyes, White features, Neon styled","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_012_parasite.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_013_rosemary,Portrait of a Picture.,Female,Legend,,Multi,Brown,Green,,,,Earrings,,,"Bespoke: 24x24 grid, Purple /Pink gradient background for a sunset, Brown wavy hair, Green eyes, Light skin tone, Natural style","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_013_rosemary.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_014_olive,Self portrait.,Female,Legend,,Purple,Blonde,Sunglasses,,,,,,,"Bespoke: 24x24 grid, Purple background, Blonde wavy hair with brown sunglasses bar, Light skin tone, Pink accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_014_olive.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_015_lime,Portrait of a Picture.,Female,Legend,,Green,Black/Grey,Brown,,,,Glasses,,,"Bespoke: 24x24 grid, Lime background, Black short hair, Light skin tone, White collar, Basic style","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_015_lime.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_016_honey,Portrait of a Picture.,Female,Legend,,Multi,Grey,Green,,,,Glasses,,,"Bespoke: 24x24 grid, Orange gradient background, Gray/silver hair, Brown glasses frames, Green eyes, Blue accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_016_honey.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_017_pine,Portrait of a Picture.,Female,Legend,,Green,Brown/Red,Brown,,,,,,,"Bespoke: 24x24 grid, Green background, Dark brown wavy hair, Light skin tone, Yellow/blue clothing accents","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_017_pine.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_018_strawberry,Portrait of a Picture.,Female,Legend,,Green,Red,Green,,,,Necklace,,,"Bespoke: 24x24 grid, Dark green background, Red curly hair, Olive/green eyes, Light skin tone, Yellow accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_018_strawberry.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_019_banana,Portrait of a Picture.,Female,Legend,,Purple,Red,Sunglasses,,,,"Necklace,  Beanie",,,"Bespoke: 24x24 grid, Blue background, Same as #17 with mint green beanie/hat addition, Red curls","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_019_banana.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_020_blood,Portrait of a Picture.,Female,Legend,,Multi,Black,Brown,,,,Necklace,,,"Bespoke: 24x24 grid, Pink/magenta gradient background, Black hair with blue highlights, Dark brown skin, Small pink lips, White accent piece","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_020_blood.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_021_diamond,Portrait of a Picture.,Female,Legend,,Blue,Brown/Red,Hazel,,,,"Earrings, Necklace",,,"Bespoke: 24x24 grid, Mint/aqua background, Dark brown wavy hair, Light skin tone, Teal collar accent, Natural makeup","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_021_diamond.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_022_gold,Self portrait. $BTC,Female,Legend,$BTC,Grey,Brown,Green,,,,"Earrings, Necklace, Bow",,,"Bespoke: 24x24 grid, Gray background, Brown wavy hair with orange/white hair clip, Light skin tone, Green eyes, White accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_022_gold.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_023_silver,Self portrait. $ETH,Female,Legend,$ETH,Multi,Brown,Green,,,,"Earrings, Necklace, Bow",,,"Bespoke: 24x24 grid, Gray/blue gradient background, Brown wavy hair with pastel stripe accent, Green eyes, Light skin tone, Blue details","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_023_silver.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_024_linen,Self portrait.,Female,Legend,,Blue,Brown,Green,,,,Bow,,,"Bespoke: 24x24 grid, Mint background, Brown wavy hair with gold checkerboard accent, Light skin tone, Green eyes, Purple accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_024_linen.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_025_mistletoe,Self portrait.,Female,Legend,,Blue,Brown,Green,,,,Bow,,,"Bespoke: 24x24 grid, Navy blue background, Brown wavy hair with red/white bow, Light skin tone, Green eyes, Green accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_025_mistletoe.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_026_fur,Portrait of a Picture. $MIGGLES,Female,Legend,$MIGGLES,Blue,Black,Green,,,,Cat ears,,,"Bespoke: 24x24 grid, Royal blue background, Black hair with brown ear buns, Light skin tone, Green eyes, Olive accent piece","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_026_fur.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_027_nitrogen,Portrait of a Picture. $BASE,Female,Legend,$BASE,Multi,Black,Green,,,,"Glasses, Hat",,,"Bespoke: 24x24 grid, Blue gradient background, Black hair, Light skin tone, Green eyes, Black cap with brim","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_027_nitrogen.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_028_marshmallow,Portrait of a Picture.,Female,Legend,,Pink,Black,Brown,,,,Earrings,,,"Bespoke: 24x24 grid, Pink background, Black straight hair, Brown skin tone, Natural makeup, Cream accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_028_marshmallow.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_029_basil,Portrait of a Picture.,Female,Legend,,Multi,Brown,Brown,,,,Glasses,,,"Bespoke: 24x24 grid, Lime/forest gradient background, Dark brown hair, Light skin tone, Brown sunglasses, Purple accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_029_basil.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_030_grass,Portrait of a Picture.,Female,Legend,,Multi,Brown,Hazel,,,,,,,"Bespoke: 24x24 grid, Peach gradient background, Dark textured hair, Light skin tone, Blue eyes, White/red accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_030_grass.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_031_paprika,Portrait of a Picture. Wifejak,Female,Legend,Wifejak,White,Red,Black,,,,Necklace,,,"Bespoke: 24x24 grid, White background, Dark red hair, Pale skin tone, Gray accent piece","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_031_paprika.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_032_salt,Portrait of a Picture.,Female,Legend,,Red,Brown/Grey,Brown,,,,"Earrings, Glasses",,,"Bespoke: 24x24 grid, Red background, White/gray styled hair, Light skin tone, Dark glasses, Red lips","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_032_salt.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_033_staranise,Portrait of a Picture.,Female,Legend,,Pink,Brown,Eyes,,,,Necklace,,,"Bespoke: 24x24 grid, Pink background, Brown wavy hair, Light skin tone, Green eyes, Burgundy accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_033_staranise.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_034_lavender,Portrait of a Picture.,Female,Legend,,Multi,Brown,Brown/Purple/Red,,,,Earrings,,,"Bespoke: 24x24 grid, Gradient beige background, Brown wavy hair, Light skin tone, Red eyes, Black accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_034_lavender.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_035_turmeric,Portrait of a Picture.,Female,Legend,,Pink,Brown/Blonde,Brown/Purple/Red,,,,"Earrings, Hat",,,"Bespoke: 24x24 grid, Pink/salmon background, Blue plaid hat, Brown wavy hair, Light skin tone, Brown eyes","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_035_turmeric.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
x,lady_036_boisenberry,Portrait of a Picture.,Female,Legend,,Purple,Red,Green,,,,,,,"Bespoke: 24x24 grid, Light blue background, Brown wavy hair, Light skin tone, Pink/yellow accents","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_036_boisenberry.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_037_rose,Portrait of a Picture.,Female,Legend,,Pink,Brown,Brown,,,,"Earrings, Necklace",,,"Bespoke: 24x24 grid, Purple background, Red wavy hair, Light skin tone, Purple sunglasses, Green accent","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_037_rose.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
,lady_038_peanut,Portrait of a Picture.,Female,Legend,,Blue,Black/Red,Black/Purple,,,,Necklace,Olivia Meng,0x2Cd07843eF29F8ef85e1878b9fcDBEa920B7a70a,"Bespoke: 24x24 grid, Pink background, Dark hair with buns, Light skin tone, Yellow/gray accents","Bespoke: Pixel art portrait matching this style exactly:
- 24x24 grid, right-facing, unique background and accessories specific to 'lady_038_peanut.png'
- Fixed features: Black pupils at (8,12) and (13,12), eyes at (9,12) and (14,12)
- Black nose dot at (11,13)
- Skin tone, hair, and props unique to the image
- High contrast, clean edges, no anti-aliasing"
